MPI BenchMarking, For Shared mode, (ptile=N):
p= 4, maxh= 556, maxn= 1312 r= 299.653 Mflop/s, g= 1.3, l= 1998.9
p= 4, maxh= 556, maxn= 1412 r= 228.854 Mflop/s, g= 0.4, l= 1010.2
p= 4, maxh= 656, maxn= 512 r= 456.151 Mflop/s, g= 0.4, l= 2085.8
p= 4, maxh= 656, maxn= 612 r= 248.384 Mflop/s, g= 0.5, l= 1667.0
p= 4, maxh= 656, maxn= 712 r= 462.296 Mflop/s, g= 1.1, l= 2010.6
p= 4, maxh= 656, maxn= 812 r= 453.843 Mflop/s, g= 3.0, l= 4419.2
p= 4, maxh= 656, maxn= 912 r= 220.328 Mflop/s, g= 1.3, l= 2016.8
p= 4, maxh= 656, maxn= 1012 r= 352.744 Mflop/s, g= 1.3, l= 1419.4
p= 4, maxh= 656, maxn= 1112 r= 250.968 Mflop/s, g= 0.8, l= 1573.4
p= 4, maxh= 656, maxn= 1212 r= 509.506 Mflop/s, g= 0.3, l= 1549.9
p= 4, maxh= 656, maxn= 1312 r= 222.033 Mflop/s, g= 0.6, l= 946.1
p= 4, maxh= 656, maxn= 1412 r= 288.249 Mflop/s, g= 1.1, l= 1305.4
p= 4, maxh= 756, maxn= 512 r= 250.004 Mflop/s, g= -0.1, l= 847.0
p= 4, maxh= 756, maxn= 612 r= 209.944 Mflop/s, g= 0.6, l= 872.1
p= 4, maxh= 756, maxn= 712 r= 223.784 Mflop/s, g= 0.5, l= 932.3
p= 4, maxh= 756, maxn= 812 r= 371.520 Mflop/s, g= 1.1, l= 2327.8
p= 4, maxh= 756, maxn= 912 r= 458.388 Mflop/s, g= 0.4, l= 2032.1
p= 4, maxh= 756, maxn= 1012 r= 468.095 Mflop/s, g= 0.3, l= 2297.0
p= 4, maxh= 756, maxn= 1112 r= 223.101 Mflop/s, g= 0.7, l= 915.2
p= 4, maxh= 756, maxn= 1212 r= 212.204 Mflop/s, g= 0.5, l= 950.7
p= 4, maxh= 756, maxn= 1312 r= 469.791 Mflop/s, g= 0.8, l= 1924.2
p= 4, maxh= 756, maxn= 1412 r= 250.373 Mflop/s, g= -0.0, l= 861.2
p= 6, maxh= 256, maxn= 512 r= 251.676 Mflop/s, g= -0.9, l= 3155.1
p= 6, maxh= 256, maxn= 612 r= 460.799 Mflop/s, g= 3.5, l= 3194.3
p= 6, maxh= 256, maxn= 712 r= 340.135 Mflop/s, g= -1.0, l= 4183.4
p= 6, maxh= 256, maxn= 812 r= 415.582 Mflop/s, g= -29839.3, l= 5265604.0
p= 6, maxh= 256, maxn= 912 r= 405.795 Mflop/s, g= -30115.8, l= 5336872.0
p= 6, maxh= 256, maxn= 1012 r= 472.339 Mflop/s, g= 2.4, l= 3395.6
p= 6, maxh= 256, maxn= 1112 r= 471.367 Mflop/s, g= 2.4, l= 3260.2
p= 6, maxh= 256, maxn= 1212 r= 509.080 Mflop/s, g= -1.4, l= 6375.9
p= 6, maxh= 256, maxn= 1312 r= 467.715 Mflop/s, g= 2.7, l= 3376.4
p= 6, maxh= 256, maxn= 1412 r= 249.983 Mflop/s, g= -0.6, l= 3028.6
p= 6, maxh= 356, maxn= 512 r= 469.327 Mflop/s, g= 1.7, l= 3439.0
p= 6, maxh= 356, maxn= 612 r= 248.557 Mflop/s, g= -0.5, l= 3318.5
p= 6, maxh= 356, maxn= 712 r= 397.328 Mflop/s, g= 1.5, l= 2943.3
p= 6, maxh= 356, maxn= 812 r= 246.463 Mflop/s, g= 0.1, l= 2870.1
p= 6, maxh= 356, maxn= 912 r= 458.598 Mflop/s, g= 2.4, l= 3386.7
p= 6, maxh= 356, maxn= 1012 r= 253.687 Mflop/s, g= 0.2, l= 3064.7
p= 6, maxh= 356, maxn= 1112 r= 395.596 Mflop/s, g= 1.8, l= 2933.5
p= 6, maxh= 356, maxn= 1212 r= 507.567 Mflop/s, g= -0.9, l= 2669.7
p= 6, maxh= 356, maxn= 1312 r= 466.397 Mflop/s, g= 1.8, l= 3463.6
p= 6, maxh= 356, maxn= 1412 r= 494.763 Mflop/s, g= 0.6, l= 5405.5
p= 6, maxh= 456, maxn= 512 r= 468.708 Mflop/s, g= 0.7, l= 3629.9
p= 6, maxh= 456, maxn= 612 r= 247.842 Mflop/s, g= 0.6, l= 3064.2
p= 6, maxh= 456, maxn= 712 r= 220.272 Mflop/s, g= 1.2, l= 1517.7
p= 6, maxh= 456, maxn= 812 r= 491.535 Mflop/s, g= 1.7, l= 5320.5
p= 6, maxh= 456, maxn= 912 r= 464.680 Mflop/s, g= 2.3, l= 3503.7
p= 6, maxh= 456, maxn= 1012 r= 255.314 Mflop/s, g= 0.5, l= 3078.3
p= 6, maxh= 456, maxn= 1112 r= 394.750 Mflop/s, g= 1.6, l= 2920.9
p= 6, maxh= 456, maxn= 1212 r= 504.688 Mflop/s, g= -0.2, l= 2442.4
p= 6, maxh= 456, maxn= 1312 r= 459.840 Mflop/s, g= 1.9, l= 3630.3
p= 6, maxh= 456, maxn= 1412 r= 250.690 Mflop/s, g= -0.3, l= 1367.4
p= 6, maxh= 556, maxn= 512 r= 216.638 Mflop/s, g= 0.3, l= 1748.1
p= 6, maxh= 556, maxn= 612 r= 456.990 Mflop/s, g= 1.3, l= 5690.3
p= 6, maxh= 556, maxn= 712 r= 513.538 Mflop/s, g= 2.1, l= 5705.5
p= 6, maxh= 556, maxn= 812 r= 462.152 Mflop/s, g= 2.2, l= 3282.3
p= 6, maxh= 556, maxn= 912 r= 500.133 Mflop/s, g= -0.3, l= 2473.4
p= 6, maxh= 556, maxn= 1012 r= 470.857 Mflop/s, g= 0.7, l= 3734.8
p= 6, maxh= 556, maxn= 1112 r= 253.579 Mflop/s, g= 0.5, l= 2915.4
p= 6, maxh= 556, maxn= 1212 r= 380.442 Mflop/s, g= -11.5, l= 6872.8
p= 6, maxh= 556, maxn= 1312 r= 460.259 Mflop/s, g= -0.7, l= 3933.8
p= 6, maxh= 556, maxn= 1412 r= 380.886 Mflop/s, g= -39.3, l= 17352.2
p= 6, maxh= 656, maxn= 512 r= 227.779 Mflop/s, g= 1.4, l= 2936.8
p= 6, maxh= 656, maxn= 612 r= 248.110 Mflop/s, g= 1.0, l= 2722.3
p= 6, maxh= 656, maxn= 712 r= 433.251 Mflop/s, g= -231.0, l= 108429.5
p= 6, maxh= 656, maxn= 812 r= 434.446 Mflop/s, g= 19.9, l= 22355.9
p= 6, maxh= 656, maxn= 912 r= 498.726 Mflop/s, g= 1.2, l= 6224.8
p= 6, maxh= 656, maxn= 1012 r= 405.847 Mflop/s, g= 104.9, l= 161117.0
p= 6, maxh= 656, maxn= 1112 r= 438.372 Mflop/s, g= -357.7, l= 298986.8
p= 6, maxh= 656, maxn= 1212 r= 510.256 Mflop/s, g= 2.4, l= 5430.9
p= 6, maxh= 656, maxn= 1312 r= 457.136 Mflop/s, g= -0.4, l= 4125.2
p= 6, maxh= 656, maxn= 1412 r= 383.304 Mflop/s, g= 1.1, l= 2462.8
p= 6, maxh= 756, maxn= 512 r= 249.465 Mflop/s, g= 0.5, l= 2886.3
p= 6, maxh= 756, maxn= 612 r= 210.516 Mflop/s, g= 0.0, l= 1797.7
